day,wd,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,energy,peak_power,peak_duration,peak_intensity,is_peak,activity
2018-06-01,5,16.8,15.96,15.81,15.48,15.32,18.27,22.62,24.72,25.54,26.43,25235.6,1473.6,0,0,FALSE,0.6
2018-06-02,6,14.81,14.35,13.62,13.31,13.53,18.24,21.04,24.39,27,27.34,21944.8,1140.8,0,0,FALSE,0.01
2018-06-03,7,14.74,14.65,14.28,13.89,13.65,18.47,21.62,24.64,26.16,26.64,21521.6,1097.6,0,0,FALSE,0.1
2018-06-04,1,14.75,13.93,13.49,13.13,13.51,19.29,22.03,25.57,27.6,28.62,25397.6,1467.2,0,0,FALSE,1
2018-06-05,2,16.86,17.44,16.75,15.83,15.37,18.04,21.21,25.59,25.18,26.89,24474.8,1494.4,0,0,FALSE,1
2018-06-06,3,14.04,13.5,13.31,12.99,12.53,17.89,20.65,24.64,25.99,26.61,24564.8,1398.4,0,0,FALSE,1
2018-06-07,4,16.09,15.78,15.48,14.91,15.17,17.82,20.62,24.27,25.86,26.67,24866,1473.6,0,0,FALSE,1
2018-06-08,5,15.95,15.23,15.29,15.83,15.68,17.9,19.53,17.84,17.18,19.03,24479.2,1390.4,0,0,FALSE,0.6
2018-06-09,6,17.98,18.21,17.96,18.11,17.14,18.04,19.96,21.12,23.59,25.36,21765.6,1139.2,0,0,FALSE,0.1
2018-06-10,7,17.14,16.12,15.4,14.76,14.79,19.99,22.79,26.46,27.8,28.28,22118.8,1158.4,0,0,FALSE,0.1
2018-06-11,1,17.5,17.17,16.94,16.58,17.28,19.2,23.33,25.45,26.78,27.74,27199.2,1547.2,8,8.161,TRUE,1
2018-06-12,2,18.22,17.54,16.88,16.87,17.14,19.52,24.03,26.82,28.78,30.25,26543.2,1580.8,7,7.162,TRUE,1
2018-06-13,3,16.93,17.84,18.23,18.3,18.02,19.2,21.84,23.05,20.87,18.34,24532.4,1361.6,0,0,FALSE,1
2018-06-14,4,17.89,17.97,17.55,17.41,17.39,17.4,17.98,19.17,19.43,20.32,23696.8,1334.4,0,0,FALSE,1
2018-06-15,5,17.1,16.84,16.59,16.56,16.49,16.6,17.31,19.12,20.23,21.8,23384,1270.4,0,0,FALSE,0.6
2018-06-16,6,18.82,18.5,17.75,16.37,17.02,19.1,20.11,21.83,23.31,25.25,22652,1204.8,0,0,FALSE,0.1
2018-06-17,7,19.11,18.77,18.04,17.16,17.39,21,22.35,24.36,26,26.4,21821.6,1081.6,0,0,FALSE,0.1
2018-06-18,1,17.71,17.98,17.47,18.02,17.48,20.86,21.76,24.19,27.55,29.24,25552.8,1464,0,0,FALSE,1
2018-06-19,2,19.76,19.82,19.32,18.93,18.87,22.4,22.54,23.76,25.43,27.11,26291.6,1464,0,0,FALSE,1
2018-06-20,3,20.79,20.79,21.02,20.25,20.42,23.29,23.26,24.06,25.79,26.61,26337.6,1484.8,0,0,FALSE,1
2018-06-21,4,17.26,16.86,16.58,16.32,16.41,22.65,24.97,27.2,28.34,29.1,26325.2,1504,1,1.003,TRUE,1
2018-06-22,5,20.82,20.38,19.1,17.83,17.72,17.78,18.07,17.62,17.22,15.73,22806.4,1212.8,0,0,FALSE,0.6
2018-06-23,6,12.29,11.68,11.24,11.13,11.91,14.95,16.05,17.56,19.33,21.46,19764,963.2,0,0,FALSE,0.1
2018-06-24,7,13.1,14.08,13.75,14.57,14.35,14.74,16.79,19.51,22.85,24.22,19305.6,942.4,0,0,FALSE,0.1
2018-06-25,1,15.77,14.86,14.95,15.59,15.64,14.36,13.76,13.62,13.88,14.12,22338.8,1196.8,0,0,FALSE,1
2018-06-26,2,14.62,14.26,13.67,13.21,14.23,16.84,17.54,18.76,20.28,22.15,23386.4,1347.2,0,0,FALSE,1
2018-06-27,3,16.92,16.5,16.05,15.43,15.86,18.98,19.26,20.09,21.38,23.42,23772.4,1348.8,0,0,FALSE,1
